bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS15063,VND,5 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,14 ngày,Hủy niêm yết,100000,5.002739726,4,2,2015,4,2,2020
BVBS15064,VND,5 Năm,Ngân hàng Chính sách Xã hội,3500000,Định kỳ - Cuối kỳ,Standard Coupon,5.9,7 ngày,Hủy niêm yết,100000,5.002739726,11,2,2015,11,2,2020
BVBS15065,VND,5 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,5.6,7 ngày,Hủy niêm yết,100000,5.005479452,4,3,2015,4,3,2020
BVBS15066,VND,5 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,5.6,7 ngày,Hủy niêm yết,100000,5.005479452,11,3,2015,11,3,2020
BVBS15067,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,5.6,7 ngày,Hủy niêm yết,100000,5.005479452,18,3,2015,18,3,2020
BVBS15091,VND,5 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,3,11,2015,3,11,2020
BVBS15092,VND,5 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,10,11,2015,10,11,2020
BVBS15093,VND,5 Năm,Ngân hàng Chính sách Xã hội,7000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,17,11,2015,17,11,2020
BVBS15094,VND,5 Năm,Ngân hàng Chính sách Xã hội,500,Định kỳ - Cuối kỳ,Standard Coupon,7.2,7 ngày,Hủy niêm yết,100000,5.005479452,24,11,2015,24,11,2020
BVBS15095,VND,5 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,7.3,7 ngày,Hủy niêm yết,100000,5.005479452,1,12,2015,1,12,2020
